Alue;nro;nykyiset_kunnat;kuva_1_yleiskuva_sankarihautausmaasta;kuva_1_kuvaajan_nimi;kuva_2_yksittäinen_hauta_risteineen_muistolaattoineen;kuva_2_kuvaajan_nimi;kuva_3_muistomerkki;kuva_3_kuvaajan_nimi;kuva_4_yleiskuva;kuva_4_kuvaajan_nimi;kuva_5_muu_muistomerkki;kuva_5_kuvaajan_nimi;kuvaukset_toteuttanut_kameraseura;hautausmaan_nimi;arkkitehti;hautoja;perustettu;paljastettu;nimi;kuvanveistäjä;pituus_n;leveys_e;tarkka_katuosoite
31;754;Sipoo;754_sipoo_talvisota_01.jpg;Kristian Frantz;754_sipoo_talvisota_02.jpg;Kristian Frantz;754_sipoo_talvisota_03.jpg;Kristian Frantz;754_sipoo_talvisota_03.jpg;Kristian Frantz;ei_ole;;Amatörfotografklubben i Helsingfors rf;Imatrankosken sankarihautausmaa ;ei_ole;102;ei_ole;1951;Fallna för fosterlandet 1939-41;ei_ole;"60°22' 8.213"" ";"25°15' 33.329""";Brobölentie 68, 04130 Sipoo / Brobölevägen 68, 04130 Sibbo
2;100;Imatra, Imatrankoski;100_imatra_imatrankoski_01.jpg;Heimo Kovanen;100_imatra_imatrankoski_02.jpg;Heimo Kovanen;100_imatra_imatrankoski_03.jpg;Heimo Kovanen;100_imatra_imatrankoski_04.jpg;Heimo Kovanen;100_imatra_imatrankoski_05.jpg;Heimo Kovanen;Imatran kameraseura;Tainionkosken sankarihautausmaa ;ei tietoa;190;ei tietoa;15/12/63;Karjalan itkuvirsi ;Kalervo Kallio ;61.169582;28.779503;Kanavakatu 1    55100 Imatra
2;101;Imatra, Tainionkoski;101_imatra_tainionkoski_01.jpg;Heimo Kovanen;101_imatra_tainionkoski_02.jpg;Heimo Kovanen;101_imatra_tainionkoski_03.jpg;Heimo Kovanen;101_imatra_tainionkoski_04.jpg;Heimo Kovanen;101_imatra_tainionkoski_05.jpg;Heimo Kovanen;Imatran kameraseura;Imatra, Vuoksenniskan sankarihautausmaa Uhrikummut;Leif Simberg ;210;ei tietoa;18/08/63;Vaiennut linnake ;Aimo Tukiainen ;61.196572;28.74736;Joutsenonkatu 71 55420 Imatra 
2;102;Imatra, Vuoksenniskan sankarihautausmaa Uhrikummut;102_imatra_vuoksenniskan_sankarihautausmaa_uhrikummut_01.jpg;Heimo Kovanen;102_imatra_vuoksenniskan_sankarihautausmaa_uhrikummut_02.jpg;Heimo Kovanen;102_imatra_vuoksenniskan_sankarihautausmaa_uhrikummut_03.jpg;Heimo Kovanen;102_imatra_vuoksenniskan_sankarihautausmaa_uhrikummut_04.jpg;Heimo Kovanen;ei_ole;;Imatran kameraseura;;ei tietoa;144;ei tietoa;14/07/63;Rauhan kellot ;Kauko Räike ;61.219553;28.828103;Uhrikuja 2 55800 Imatra 
9;136;Jämsä;136_jamsa_01.jpg;Juha Jokinen;136_jamsa_02.jpg;Juha Jokinen;136_jamsa_03.jpg;Juha Jokinen;136_jamsa_04.jpg;Juha Jokinen;136_jamsa_05.jpg;Juha Jokinen;Tampereen valokuvausseura ry;;puutarhateknikko T. Santakarin (kunnostus);167;1939;1920;1918 kaatuneiden muistomerkki;Evert Porilan;61°52'22.6'';"25°10'52.9""";Koskentie 30
9;137;Jämsä / Jämsänkoski;137_jamsa_jamsankoski_01.jpg;Juha Jokinen;137_jamsa_jamsankoski_02.jpg;Juha Jokinen;137_jamsa_jamsankoski_03.jpg;Juha Jokinen;137_jamsa_jamsankoski_04.jpg;Juha Jokinen;ei_ole;;Tampereen valokuvausseura ry;;taiteilija Ilmari Wirkkala;56;1946;1951;ei_ole;M. Nordenswan;"61°55'26.8""";"25°09'13.0""";Rauhantie 4
9;138;Jämsä / Jämsänkoski, Koskenpää;138_jamsa_jamsankoski_koskenpaa_01.jpg;Juha Jokinen;138_jamsa_jamsankoski_koskenpaa_02.jpg;Juha Jokinen;138_jamsa_jamsankoski_koskenpaa_03.jpg;Juha Jokinen;ei_ole;;ei_ole;;Tampereen valokuvausseura ry;ei_ole;diplomiarkkitehti Laila Niemioja;45;1950;1950/reliefi 1977;;Muistomerkki Laila Niemioja reliefi kuvanveistäjä Pentti Papinaho;"62°04'58.1""";"25°08'37.0""";Petäjävedentie 20
8;208;Konnevesi;208_konnevesi_01.jpg;;208_konnevesi_02.jpg;;208_konnevesi_03.jpg;;208_konnevesi_04.jpg;;208_konnevesi_05.jpg;Raili Hänninen / Veli Rytkönen;Suolahden kamerat ry;ei_ole;Sankarivainajien muistotoimikunta;177;ei_ole;1959;ei_ole;Taiteilija Pauli Koskinen;62.38.22;26.19.29;ei_ole
8;284;Laukaa;284_laukaa_01.jpg;;284_laukaa_02.jpg;;284_laukaa_03.jpg;;284_laukaa_04.jpg;;284_laukaa_05.jpg;Juhani Marin;Suolahden kamerat ry;ei_ole;ei_ole;204;ei_ole;1956;Enkeli ja lapsi;Lauri Leppänen;62.24.55;25.57.37;ei_ole
8;685;Äänekoski / Sumiainen;685_aanekoski_sumiainen_01.jpg;;685_aanekoski_sumiainen_02.jpg;;685_aanekoski_sumiainen_03.jpg;;685_aanekoski_sumiainen_04.jpg;;685_aanekoski_sumiainen_05.jpg;Raili Hänninen / Veli Rytkönen;Suolahden kamerat ry;ei_ole;Taiteilija Ilmari Virkkala;96;ei_ole;1955;ei_ole;Taiteilija Ilmari Virkkala;62.65.46;26/08/80;ei_ole
8;686;Äänekoski / Suolahti;686_aanekoski_suolahti_01.jpg;;686_aanekoski_suolahti_02.jpg;;686_aanekoski_suolahti_03.jpg;;686_aanekoski_suolahti_04.jpg;;686_aanekoski_suolahti_05.jpg;Raili Hänninen ;Suolahden kamerat ry;Pyhän Birgitan kirkon hautausmaa;Opettaja Martti Rehtijärvi;103;1949;1961;Liekki;Uuno Lindgren;62.56.65;25.86.09;ei_ole
23;288;Lempäälä;288_lempaala_01.jpg;Kari Tolonen;288_lempaala_02.jpg;Kari Tolonen;288_lempaala_03.jpg;Kari Tolonen;288_lempaala_04.jpg;Kari Tolonen;288_lempaala_05.jpg;;Mielikuvitus;Vesilahden hautausmaa;Ilmari Wirkkala;181;;1947;Sankariristi;ei_ole;61.314391;23.751045;Kirkkopolku  37500 Lempäälä
