uri,original_narc_name
http://ldf.fi/warsa/places/cemeteries/h0221_1 ,Lammi 
http://ldf.fi/warsa/places/cemeteries/h0221_2 ,"Lammi, Mommila "
http://ldf.fi/warsa/places/cemeteries/h0222_1 ,Lempäälä 
http://ldf.fi/warsa/places/cemeteries/h0223_1 ,Loppi 
http://ldf.fi/warsa/places/cemeteries/h0224_1 ,Luopioinen 
http://ldf.fi/warsa/places/cemeteries/h0225_1 ,Längelmäki 
http://ldf.fi/warsa/places/cemeteries/h0226_1 ,Mänttä 
http://ldf.fi/warsa/places/cemeteries/h0227_1 ,Nastola 
http://ldf.fi/warsa/places/cemeteries/h0228_1 ,Nokia 
http://ldf.fi/warsa/places/cemeteries/h0228_2 ,"Nokia, Suoniemi "
http://ldf.fi/warsa/places/cemeteries/h0228_3 ,"Nokia, Tottijärvi "
http://ldf.fi/warsa/places/cemeteries/h0229_1 ,Orivesi 
http://ldf.fi/warsa/places/cemeteries/h0229_2 ,"Orivesi, Eräjärvi "
http://ldf.fi/warsa/places/cemeteries/h0230_1 ,Padasjoki 
http://ldf.fi/warsa/places/cemeteries/h0231_1 ,Pirkkala 
http://ldf.fi/warsa/places/cemeteries/h0232_1 ,Pälkäne 
http://ldf.fi/warsa/places/cemeteries/h0233_1 ,Renko 
http://ldf.fi/warsa/places/cemeteries/h0234_1 ,"Riihimäki, sankarihautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0234_2 ,"Riihimäki, hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0235_1 ,Ruovesi 
http://ldf.fi/warsa/places/cemeteries/h0235_2 ,"Ruovesi, Murole "
http://ldf.fi/warsa/places/cemeteries/h0236_1 ,Sahalahti 
http://ldf.fi/warsa/places/cemeteries/h0237_1 ,Somero 
http://ldf.fi/warsa/places/cemeteries/h0237_2 ,"Somero, Somerniemi "
http://ldf.fi/warsa/places/cemeteries/h0238_1 ,Tammela 
http://ldf.fi/warsa/places/cemeteries/h0239_1 ,"Tampere, Kalevankangas "
http://ldf.fi/warsa/places/cemeteries/h0239_2 ,"Tampere, Aitolahti "
http://ldf.fi/warsa/places/cemeteries/h0239_3 ,"Tampere, Lamminpää "
http://ldf.fi/warsa/places/cemeteries/h0239_4 ,"Tampere, Messukylä "
http://ldf.fi/warsa/places/cemeteries/h0240_1 ,Toijala 
http://ldf.fi/warsa/places/cemeteries/h0241_1 ,Tuulos 
http://ldf.fi/warsa/places/cemeteries/h0242_1 ,Urjala 
http://ldf.fi/warsa/places/cemeteries/h0242_2 ,"Urjala, Halkivaha "
http://ldf.fi/warsa/places/cemeteries/h0243_1 ,Valkeakoski 
http://ldf.fi/warsa/places/cemeteries/h0243_2 ,"Valkeakoski, Metsäkansa "
http://ldf.fi/warsa/places/cemeteries/h0243_3 ,"Valkeakoski, Sääksmäki "
http://ldf.fi/warsa/places/cemeteries/h0244_1 ,Vesilahti 
http://ldf.fi/warsa/places/cemeteries/h0245_1 ,Viiala 
http://ldf.fi/warsa/places/cemeteries/h0246_1 ,Vilppula 
http://ldf.fi/warsa/places/cemeteries/h0246_2 ,"Vilppula, Pohjaslahti "
http://ldf.fi/warsa/places/cemeteries/h0247_1 ,Virrat 
http://ldf.fi/warsa/places/cemeteries/h0247_2 ,"Virrat, Killinkoski "
http://ldf.fi/warsa/places/cemeteries/h0248_1 ,Ylöjärvi 
http://ldf.fi/warsa/places/cemeteries/h0249_1 ,Ypäjä 
http://ldf.fi/warsa/places/cemeteries/h0401_1 ,"Anjalankoski, Anjala "
http://ldf.fi/warsa/places/cemeteries/h0401_2 ,"Anjalankoski, Karhunkangas "
http://ldf.fi/warsa/places/cemeteries/h0401_3 ,"Anjalankoski, Myllykoski "
http://ldf.fi/warsa/places/cemeteries/h0401_4 ,"Anjalankoski, Sippola "
http://ldf.fi/warsa/places/cemeteries/h0401_5 ,"Anjalankoski, Muhniemi "
http://ldf.fi/warsa/places/cemeteries/h0401_6 ,"Anjalankoski, Kirkkovuoren h-maa "
http://ldf.fi/warsa/places/cemeteries/h0402_1 ,Elimäki 
http://ldf.fi/warsa/places/cemeteries/h0403_1 ,Hamina 
http://ldf.fi/warsa/places/cemeteries/h0403_2 ,"Hamina, Husulan hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0403_3 ,"Hamina, rannikon puolustajien muistomerkki "
http://ldf.fi/warsa/places/cemeteries/h0404_1 ,Iitti 
http://ldf.fi/warsa/places/cemeteries/h0404_2 ,"Iitti, Vuolenkoski "
http://ldf.fi/warsa/places/cemeteries/h0405_1 ,"Imatra, Imatrankoski "
http://ldf.fi/warsa/places/cemeteries/h0405_2 ,"Imatra, Tainionkoski "
http://ldf.fi/warsa/places/cemeteries/h0405_3 ,"Imatra, Vuoksenniskan sankarihautausmaa Uhrikummut "
http://ldf.fi/warsa/places/cemeteries/h0406_1 ,Jaala 
http://ldf.fi/warsa/places/cemeteries/h0407_1 ,Joutseno 
http://ldf.fi/warsa/places/cemeteries/h0408_1 ,Kotka 
http://ldf.fi/warsa/places/cemeteries/h0408_3 ,"Kotka, Kymi "
http://ldf.fi/warsa/places/cemeteries/h0408_4 ,"Kotka, Kymi, Metsäkulman hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0409_1 ,"Kouvola, vanha hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0410_1 ,"Kuusankoski, uusi hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0411_1 ,Lappeenranta 
http://ldf.fi/warsa/places/cemeteries/h0411_2 ,"Lappeenranta, Lepolan hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0412_1 ,Lemi 
http://ldf.fi/warsa/places/cemeteries/h0413_1 ,"Luumäki, Kangas "
http://ldf.fi/warsa/places/cemeteries/h0413_2 ,"Luumäki, Saksala "
http://ldf.fi/warsa/places/cemeteries/h0414_1 ,"Miehikkälä, Miehikkälä "
http://ldf.fi/warsa/places/cemeteries/h0415_1 ,Nuijamaa 
http://ldf.fi/warsa/places/cemeteries/h0416_1 ,Parikkala 
http://ldf.fi/warsa/places/cemeteries/h0416_2 ,"Parikkala, Uusi hautausnmaa "
http://ldf.fi/warsa/places/cemeteries/h0417_1 ,Pyhtää 
http://ldf.fi/warsa/places/cemeteries/h0418_1 ,"Rautjärvi, talvisodan hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0418_2 ,"Rautjärvi, jatkosodan hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0418_3 ,"Rautjärvi, Simpele "
http://ldf.fi/warsa/places/cemeteries/h0418_4 ,"Rautjärvi, Ilmee "
http://ldf.fi/warsa/places/cemeteries/h0419_1 ,"Ruokolahti, talvisodan hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0419_2 ,"Ruokolahti, jatkosodan hautausmaa "
http://ldf.fi/warsa/places/cemeteries/h0420_1 ,"Saari, talvisodan sankarihauta-alue "
http://ldf.fi/warsa/places/cemeteries/h0420_2 ,"Saari, jatkosodan sankarihauta-alue "
http://ldf.fi/warsa/places/cemeteries/h0421_1 ,Savitaipale 
http://ldf.fi/warsa/places/cemeteries/h0422_1 ,Suomenniemi 
http://ldf.fi/warsa/places/cemeteries/h0423_1 ,Taipalsaari 
http://ldf.fi/warsa/places/cemeteries/h0424_1 ,Uukuniemi 
http://ldf.fi/warsa/places/cemeteries/h0425_1 ,Valkeala 
http://ldf.fi/warsa/places/cemeteries/h0425_2 ,"Valkeala, Mäntysaari "
http://ldf.fi/warsa/places/cemeteries/h0425_3 ,"Valkeala, Tuohikotti "
